Date,Name,Year,Letterboxd URI,Rating
2022-01-09,But I'm a Cheerleader,1999,https://boxd.it/1CW4,3
2022-01-09,Elephant,2003,https://boxd.it/287i,4
2022-01-09,Carol,2015,https://boxd.it/7DPK,5
2022-01-10,Tangerine,2015,https://boxd.it/9QRe,4.5
2022-01-15,Annie Hall,1977,https://boxd.it/29M2,1
2022-01-15,Parallel Mothers,2021,https://boxd.it/sOP4,2
2022-01-15,Promare,2019,https://boxd.it/keFQ,2
2022-01-24,Rosa's Wedding,2020,https://boxd.it/pmcs,3
2022-01-25,West Side Story,2021,https://boxd.it/iwt0,4
2022-01-27,Girlfriends,2021,https://boxd.it/tQaE,4
2022-01-27,Libertad,2021,https://boxd.it/omnI,3
2022-01-27,Marriage Story,2019,https://boxd.it/hJAw,5
2022-01-27,Carmen & Lola,2018,https://boxd.it/iOYq,4
2022-01-27,The Florida Project,2017,https://boxd.it/dMG0,4
2022-01-27,Over the Moon,2020,https://boxd.it/kv2Q,4
2022-01-27,Memoirs of a Geisha,2005,https://boxd.it/27TA,4
2022-01-27,Lilya 4-ever,2002,https://boxd.it/1SyW,5
2022-01-27,Requiem for a Dream,2000,https://boxd.it/29VI,5
2022-01-27,Eighth Grade,2018,https://boxd.it/hDMG,4
2022-01-27,Lost Highway,1997,https://boxd.it/29Wc,5
2022-01-27,Thelma & Louise,1991,https://boxd.it/28Ew,5
2022-01-27,Perfect Blue,1997,https://boxd.it/1W7A,5
2022-01-27,When the Wind Blows,1986,https://boxd.it/1VdC,5
2022-01-27,High Heels,1991,https://boxd.it/20sW,4.5
2022-01-27,Kids,1995,https://boxd.it/1YUY,4
2022-01-27,Open Your Eyes,1997,https://boxd.it/27TU,4
2022-01-27,The Others,2001,https://boxd.it/27Po,3.5
2022-01-27,Talk to Her,2002,https://boxd.it/2beG,4
2022-01-27,My Life Without Me,2003,https://boxd.it/710,5
2022-01-27,Volver,2006,https://boxd.it/2aQO,4.5
2022-01-27,The Letter,1940,https://boxd.it/1I3Y,4.5
2022-01-27,Gone with the Wind,1939,https://boxd.it/29Fq,5
2022-01-27,Funny Girl,1968,https://boxd.it/1KR2,4
2022-01-27,Coraline,2009,https://boxd.it/1NhQ,4
2022-01-27,From Up on Poppy Hill,2011,https://boxd.it/2VCa,2
2022-01-27,The Wind Rises,2013,https://boxd.it/4JQS,4.5
2022-01-27,Kubo and the Two Strings,2016,https://boxd.it/a4wE,5
2022-01-27,All About My Mother,1999,https://boxd.it/2b9c,5
2022-01-27,Blue Velvet,1986,https://boxd.it/29BI,5
2022-01-27,The Breakfast Club,1985,https://boxd.it/27q4,4
2022-01-27,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2022-01-27,All About Eve,1950,https://boxd.it/29LI,5
2022-01-27,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,2
2022-01-27,Sunset Boulevard,1950,https://boxd.it/2a20,5
2022-01-27,Grave of the Fireflies,1988,https://boxd.it/1RUM,5
2022-01-27,Inland Empire,2006,https://boxd.it/28d6,5
2022-01-27,Flowers From Another World,1999,https://boxd.it/sWQ,3
2022-01-27,My Neighbor Totoro,1988,https://boxd.it/20eA,2.5
2022-01-30,Grand Hotel,1932,https://boxd.it/1f2C,2.5
2022-02-01,Princesses,2005,https://boxd.it/2932,5
2022-02-04,Gone Girl,2014,https://boxd.it/6hQu,3.5
2022-02-05,Singin' in the Rain,1952,https://boxd.it/29oY,4
2022-02-05,Welcome Mr. Marshall!,1953,https://boxd.it/1i50,4
2022-02-05,Casablanca,1942,https://boxd.it/2aG0,3
2022-02-05,A Streetcar Named Desire,1951,https://boxd.it/29Mc,4
2022-02-05,In the Mood for Love,2000,https://boxd.it/29tE,2
2022-02-05,Starlet,2012,https://boxd.it/3dvG,4.5
2022-02-06,Scarface,1983,https://boxd.it/2b7g,4
2022-02-06,La La Land,2016,https://boxd.it/a5fa,4
2022-02-08,El Bola,2000,https://boxd.it/1flY,4
2022-02-10,That Was Life,2020,https://boxd.it/shTM,3
2022-02-12,Journey to a Mother's Room,2018,https://boxd.it/jrls,4
2022-02-14,Arrival,2016,https://boxd.it/aNGk,3.5
2022-02-20,Barry Lyndon,1975,https://boxd.it/25A2,4
2022-03-09,An Elephant Sitting Still,2018,https://boxd.it/i1EQ,5
2022-03-10,Palm Springs,2020,https://boxd.it/lCXQ,2.5
2022-03-10,Pride & Prejudice,2005,https://boxd.it/24u8,4
2022-03-10,Labyrinth,1986,https://boxd.it/1POC,4.5
2022-03-11,Belladonna of Sadness,1973,https://boxd.it/2q,3.5
2022-03-11,Groundhog Day,1993,https://boxd.it/2b3e,1.5
2022-03-12,Turning Red,2022,https://boxd.it/ipkq,4
2022-03-15,Shiva Baby,2020,https://boxd.it/oIv0,4
2022-03-18,Happiness,1998,https://boxd.it/1VEe,4.5
2022-03-19,Blue Is the Warmest Color,2013,https://boxd.it/4O40,0.5
2022-03-19,Carnage,2011,https://boxd.it/2peU,3.5
2022-03-20,Julieta,2016,https://boxd.it/aY26,3.5
2022-03-22,Puella Magi Madoka Magica the Movie Part III: Rebellion,2013,https://boxd.it/6kx6,5
2022-03-27,Django Unchained,2012,https://boxd.it/2cCk,4.5
2022-03-27,Nobody Knows,2004,https://boxd.it/26E0,5
2022-03-29,My Fair Lady,1964,https://boxd.it/1UBI,3
2022-03-30,The Worst Person in the World,2021,https://boxd.it/oyws,3.5
2022-04-01,Meet Me in St. Louis,1944,https://boxd.it/29j0,3
2022-04-08,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2022-04-08,Monster House,2006,https://boxd.it/1Z2e,3
2022-04-09,Carmina or Blow Up,2012,https://boxd.it/3E2m,3.5
2022-04-09,Pan's Labyrinth,2006,https://boxd.it/28No,3
2022-04-16,Spencer,2021,https://boxd.it/qPMG,2
2022-04-18,Jamon Jamon,1992,https://boxd.it/24dQ,3.5
2022-04-24,Carmina and Amen,2014,https://boxd.it/772Q,4
2022-04-27,The Sea Inside,2004,https://boxd.it/27S8,4
2022-04-30,What Makes Women Laugh?,1997,https://boxd.it/3ovC,3
